matricula,data,codigo_situacao
14931,09/12/2025,15
14928,09/12/2025,15
11312,09/12/2025,15
8055,09/12/2025,15
37636,08/12/2025,15
37635,08/12/2025,15
37565,08/12/2025,15
37012,08/12/2025,15
36945,08/12/2025,15
36938,08/12/2025,15
36930,08/12/2025,15
36928,08/12/2025,15
36756,08/12/2025,15
36751,08/12/2025,15
36456,08/12/2025,15
36404,08/12/2025,15
36284,08/12/2025,15
35548,08/12/2025,15
35474,08/12/2025,15
35408,08/12/2025,15
35082,08/12/2025,15
35079,08/12/2025,15
35078,08/12/2025,15
35052,08/12/2025,15
35048,08/12/2025,15
34979,08/12/2025,15
34544,08/12/2025,15
34398,08/12/2025,15
34333,08/12/2025,15
34296,08/12/2025,15
34189,08/12/2025,15
34165,08/12/2025,15
33772,08/12/2025,15
33749,08/12/2025,15
33361,08/12/2025,15
33307,08/12/2025,15
33232,08/12/2025,15
33199,08/12/2025,15
33183,08/12/2025,15
33115,08/12/2025,15
33031,08/12/2025,15
32716,08/12/2025,15
32583,08/12/2025,15
32333,08/12/2025,15
32290,08/12/2025,15
32139,08/12/2025,15
31960,08/12/2025,15
31498,08/12/2025,15
31489,08/12/2025,15
31159,08/12/2025,15
30922,08/12/2025,15
30805,08/12/2025,15
30396,08/12/2025,15
30349,08/12/2025,15
29439,08/12/2025,15
29008,08/12/2025,15
28755,08/12/2025,15
28748,08/12/2025,15
28650,08/12/2025,15
28341,08/12/2025,15
28226,08/12/2025,15
27500,08/12/2025,15
27495,08/12/2025,15
27406,08/12/2025,15
27211,08/12/2025,15
27057,08/12/2025,15
26005,08/12/2025,15
26000,08/12/2025,15
25812,08/12/2025,15
25656,08/12/2025,15
25576,08/12/2025,15
22726,08/12/2025,15
22413,08/12/2025,15
22393,08/12/2025,15
21734,08/12/2025,15
20517,08/12/2025,15
19729,08/12/2025,15
18552,08/12/2025,15
18540,08/12/2025,15
18332,08/12/2025,15
14931,08/12/2025,15
14928,08/12/2025,15
11312,08/12/2025,15
2646,08/12/2025,15
37636,07/12/2025,15
37635,07/12/2025,15
37565,07/12/2025,15
37222,07/12/2025,15
36945,07/12/2025,15
36938,07/12/2025,15
36930,07/12/2025,15
36928,07/12/2025,15
36756,07/12/2025,15
36751,07/12/2025,15
36742,07/12/2025,15
36473,07/12/2025,15
36404,07/12/2025,15
36401,07/12/2025,15
36303,07/12/2025,15
36284,07/12/2025,15
35738,07/12/2025,15
35548,07/12/2025,15
35408,07/12/2025,15
35167,07/12/2025,15
35091,07/12/2025,15
35079,07/12/2025,15
35078,07/12/2025,15
35077,07/12/2025,15
35076,07/12/2025,15
35052,07/12/2025,15
35048,07/12/2025,15
35010,07/12/2025,15
34414,07/12/2025,15
34398,07/12/2025,15
34333,07/12/2025,15
34296,07/12/2025,15
34165,07/12/2025,15
34060,07/12/2025,15
34057,07/12/2025,15
33910,07/12/2025,15
33839,07/12/2025,15
33749,07/12/2025,15
33473,07/12/2025,15
33463,07/12/2025,15
33361,07/12/2025,15
33322,07/12/2025,15
33307,07/12/2025,15
33301,07/12/2025,15
33232,07/12/2025,15
33213,07/12/2025,15
33199,07/12/2025,15
33183,07/12/2025,15
33115,07/12/2025,15
32977,07/12/2025,15
32876,07/12/2025,15
32861,07/12/2025,15
32814,07/12/2025,15
32716,07/12/2025,15
32698,07/12/2025,15
32677,07/12/2025,15
32333,07/12/2025,15
32281,07/12/2025,15
32140,07/12/2025,15
32139,07/12/2025,15
31960,07/12/2025,15
31875,07/12/2025,15
31525,07/12/2025,15
31489,07/12/2025,15
31325,07/12/2025,15
30922,07/12/2025,15
30805,07/12/2025,15
30396,07/12/2025,15
30349,07/12/2025,15
30174,07/12/2025,15
30026,07/12/2025,15
29990,07/12/2025,15
29908,07/12/2025,15
29857,07/12/2025,15
29617,07/12/2025,15
29440,07/12/2025,15
28748,07/12/2025,15
28746,07/12/2025,15
28665,07/12/2025,15
28341,07/12/2025,15
28304,07/12/2025,15
28226,07/12/2025,15
27406,07/12/2025,15
27211,07/12/2025,15
27108,07/12/2025,15
27023,07/12/2025,15
26005,07/12/2025,15
26000,07/12/2025,15
25967,07/12/2025,15
25755,07/12/2025,15
25656,07/12/2025,15
25608,07/12/2025,15
25594,07/12/2025,15
25593,07/12/2025,15
25576,07/12/2025,15
22726,07/12/2025,15
22579,07/12/2025,15
21734,07/12/2025,15
19780,07/12/2025,15
19673,07/12/2025,15
19037,07/12/2025,15
19022,07/12/2025,15
18552,07/12/2025,15
18431,07/12/2025,15
18332,07/12/2025,15
17106,07/12/2025,15
16365,07/12/2025,15
16355,07/12/2025,15
16153,07/12/2025,15
14931,07/12/2025,15
14928,07/12/2025,15
12751,07/12/2025,15
11312,07/12/2025,15
2646,07/12/2025,15
37636,06/12/2025,15
37635,06/12/2025,15
37632,06/12/2025,15
37624,06/12/2025,15
37565,06/12/2025,15
37222,06/12/2025,15
36942,06/12/2025,15
36938,06/12/2025,15
36930,06/12/2025,15
36928,06/12/2025,15
36756,06/12/2025,15
36751,06/12/2025,15
36742,06/12/2025,15
36476,06/12/2025,15
36404,06/12/2025,15
36303,06/12/2025,15
36284,06/12/2025,15
36218,06/12/2025,15
35738,06/12/2025,15
35548,06/12/2025,15
35474,06/12/2025,15
35453,06/12/2025,15
35408,06/12/2025,15
35260,06/12/2025,15
35255,06/12/2025,15
35167,06/12/2025,15
35166,06/12/2025,15
35091,06/12/2025,15
35078,06/12/2025,15
35077,06/12/2025,15
35052,06/12/2025,15
35048,06/12/2025,15
35046,06/12/2025,15
35013,06/12/2025,15
35010,06/12/2025,15
34398,06/12/2025,15
34296,06/12/2025,15
34165,06/12/2025,15
34057,06/12/2025,15
33749,06/12/2025,15
33722,06/12/2025,15
33473,06/12/2025,15
33463,06/12/2025,15
33361,06/12/2025,15
33322,06/12/2025,15
33307,06/12/2025,15
33301,06/12/2025,15
33215,06/12/2025,15
33213,06/12/2025,15
33199,06/12/2025,15
33195,06/12/2025,15
33115,06/12/2025,15
32977,06/12/2025,15
32861,06/12/2025,15
32716,06/12/2025,15
32715,06/12/2025,15
32698,06/12/2025,15
32677,06/12/2025,15
32538,06/12/2025,15
32273,06/12/2025,15
32139,06/12/2025,15
31960,06/12/2025,15
31489,06/12/2025,15
31325,06/12/2025,15
31299,06/12/2025,15
30922,06/12/2025,15
30349,06/12/2025,15
30174,06/12/2025,15
29857,06/12/2025,15
28748,06/12/2025,15
28746,06/12/2025,15
28304,06/12/2025,15
27445,06/12/2025,15
27259,06/12/2025,15
27211,06/12/2025,15
26005,06/12/2025,15
26000,06/12/2025,15
25967,06/12/2025,15
25755,06/12/2025,15
25656,06/12/2025,15
22726,06/12/2025,15
22579,06/12/2025,15
20506,06/12/2025,15
19780,06/12/2025,15
19037,06/12/2025,15
18431,06/12/2025,15
18332,06/12/2025,15
16388,06/12/2025,15
14581,06/12/2025,15
12751,06/12/2025,15
11312,06/12/2025,15
37635,05/12/2025,15
37632,05/12/2025,15
37624,05/12/2025,15
37606,05/12/2025,15
37565,05/12/2025,15
37094,05/12/2025,15
36941,05/12/2025,15
36938,05/12/2025,15
36930,05/12/2025,15
36928,05/12/2025,15
36751,05/12/2025,15
36742,05/12/2025,15
36476,05/12/2025,15
36303,05/12/2025,15
36284,05/12/2025,15
36218,05/12/2025,15
35515,05/12/2025,15
35461,05/12/2025,15
35453,05/12/2025,15
35260,05/12/2025,15
35255,05/12/2025,15
35091,05/12/2025,15
35079,05/12/2025,15
35078,05/12/2025,15
35052,05/12/2025,15
35048,05/12/2025,15
35046,05/12/2025,15
34398,05/12/2025,15
34296,05/12/2025,15
34165,05/12/2025,15
33772,05/12/2025,15
33749,05/12/2025,15
33473,05/12/2025,15
